index_one,index_zero,p_id,hh_id,cbg_id
296976,296975,37610,0,0
296977,296976,37611,0,0
296978,296977,37612,0,0
296979,296978,37613,0,0
296980,296979,37614,0,0
296981,296980,37615,0,0
296982,296981,37616,0,0
296983,296982,37617,0,0
296984,296983,37618,0,0
296985,296984,37619,0,0
296986,296985,37620,0,0
296987,296986,37621,0,0
296988,296987,37622,0,0
296989,296988,37623,0,0
296990,296989,37624,0,0
296991,296990,37625,0,0
296992,296991,37626,0,0
296993,296992,37627,0,0
296994,296993,37628,0,0
296995,296994,37629,0,0
296996,296995,37630,0,0
296997,296996,37631,0,0
296998,296997,37632,0,0
296999,296998,37633,0,0
297000,296999,37634,0,0
297001,297000,37635,0,0
297002,297001,37636,0,0
297003,297002,37637,0,0
297004,297003,37638,0,0
297005,297004,37639,0,0
297006,297005,37640,0,0
297007,297006,37641,0,0
297008,297007,37642,0,0
297009,297008,37643,0,0
297010,297009,37644,0,0
297011,297010,37645,0,0
297012,297011,37646,0,0
297013,297012,37647,0,0
297014,297013,37648,0,0
297015,297014,37649,0,0
297016,297015,37650,0,0
297017,297016,37651,0,0
297018,297017,37652,0,0
297019,297018,37653,0,0
297020,297019,37654,0,0
297021,297020,37655,0,0
297022,297021,37656,0,0
297023,297022,37657,0,0
297024,297023,37658,0,0
297025,297024,37659,0,0
297026,297025,37660,0,0
297027,297026,37661,0,0
297028,297027,37662,0,0
297029,297028,37663,0,0
297030,297029,37664,0,0
297031,297030,37665,0,0
297032,297031,37666,0,0
297033,297032,37667,0,0
297034,297033,37668,0,0
297035,297034,37669,0,0
297036,297035,37670,0,0
297037,297036,37671,0,0
297038,297037,37672,0,0
297039,297038,37673,0,0
297040,297039,37674,0,0
297041,297040,37675,0,0
297042,297041,37676,0,0
297043,297042,37677,0,0
297044,297043,37678,0,0
297045,297044,37679,0,0
297046,297045,37680,0,0
297047,297046,37681,0,0
297048,297047,37682,0,0
297049,297048,37683,0,0
297050,297049,37684,0,0
297051,297050,37685,0,0
297052,297051,37686,0,0
297053,297052,37687,0,0
297054,297053,37688,0,0
297055,297054,37689,0,0
297056,297055,37690,0,0
297057,297056,37691,0,0
297058,297057,37692,0,0
297059,297058,37693,0,0
297060,297059,37694,0,0
297061,297060,37695,0,0
297062,297061,37696,0,0
297063,297062,37697,0,0
297064,297063,37698,0,0
297065,297064,37699,0,0
297066,297065,37700,0,0
297067,297066,37701,0,0
297068,297067,37702,0,0
297069,297068,37703,0,0
297070,297069,37704,0,0
297071,297070,37705,0,0
297072,297071,37706,0,0
297073,297072,37707,0,0
297074,297073,37708,0,0
297075,297074,37709,0,0
297076,297075,37710,0,0
297077,297076,37711,0,0
297078,297077,37712,0,0
297079,297078,37713,0,0
297080,297079,37714,0,0
297081,297080,37715,0,0
297082,297081,37716,0,0
297083,297082,37717,0,0
297084,297083,37718,0,0
297085,297084,37719,0,0
297086,297085,37720,0,0
297087,297086,37721,0,0
297088,297087,37722,0,0
297089,297088,37723,0,0
297090,297089,37724,0,0
297091,297090,37725,0,0
297092,297091,37726,0,0
297093,297092,37727,0,0
297094,297093,37728,0,0
297095,297094,37729,0,0
297096,297095,37730,0,0
297097,297096,37731,0,0
297098,297097,37732,0,0
297099,297098,37733,0,0
297100,297099,37734,0,0
297101,297100,37735,0,0
297102,297101,37736,0,0
297103,297102,37737,0,0
297104,297103,37738,0,0
297105,297104,37739,0,0
297106,297105,37740,0,0
297107,297106,37741,0,0
297108,297107,37742,0,0
297109,297108,37743,0,0
297110,297109,37744,0,0
297111,297110,37745,0,0
297112,297111,37746,0,0
297113,297112,37747,0,0
297114,297113,37748,0,0
297115,297114,37749,0,0
297116,297115,37750,0,0
297117,297116,37751,0,0
297118,297117,37752,0,0
297119,297118,37753,0,0
297120,297119,37754,0,0
297121,297120,37755,0,0
297122,297121,37756,0,0
297123,297122,37757,0,0
297124,297123,37758,0,0
297125,297124,37759,0,0
297126,297125,37760,0,0
297127,297126,37761,0,0
297128,297127,37762,0,0
297129,297128,37763,0,0
297130,297129,37764,0,0
297131,297130,37765,0,0
297132,297131,37766,0,0
297133,297132,37767,0,0
297134,297133,37768,0,0
297135,297134,37769,0,0
297136,297135,37770,0,0
297137,297136,37771,0,0
297138,297137,37772,0,0
297139,297138,37773,0,0
297140,297139,37774,0,0
297141,297140,37775,0,0
297142,297141,37776,0,0
297143,297142,37777,0,0
297144,297143,37778,0,0
297145,297144,37779,0,0
297146,297145,37780,0,0
297147,297146,37781,0,0
297148,297147,37782,0,0
297149,297148,37783,0,0
297150,297149,37784,0,0
297151,297150,37785,0,0
297152,297151,37786,0,0
297153,297152,37787,0,0
297154,297153,37788,0,0
297155,297154,37789,0,0
297156,297155,37790,0,0
297157,297156,37791,0,0
297158,297157,37792,0,0
297159,297158,37793,0,0
297160,297159,37794,0,0
297161,297160,37795,0,0
297162,297161,37796,0,0
297163,297162,37797,0,0
297164,297163,37798,0,0
297165,297164,37799,0,0
297166,297165,37800,0,0
297167,297166,37801,0,0
297168,297167,37802,0,0
297169,297168,37803,0,0
297170,297169,37804,0,0
297171,297170,37805,0,0
297172,297171,37806,0,0
297173,297172,37807,0,0
297174,297173,37808,0,0
297175,297174,37809,0,0
297176,297175,37810,0,0
297177,297176,37811,0,0
297178,297177,37812,0,0
297179,297178,37813,0,0
297180,297179,37814,0,0
297181,297180,37815,0,0
297182,297181,37816,0,0
297183,297182,37817,0,0
297184,297183,37818,0,0
297185,297184,37819,0,0
297186,297185,37820,0,0
297187,297186,37821,0,0
297188,297187,37822,0,0
297189,297188,37823,0,0
297190,297189,37824,0,0
297191,297190,37825,0,0
297192,297191,37826,0,0
297193,297192,37827,0,0
297194,297193,37828,0,0
297195,297194,37829,0,0
