index_one,index_zero,p_id,hh_id,cbg_id
1,0,2,515,121
2,1,1,173,53
4,3,1,71,173
5,4,1,734,120
14,13,1,115,54
32,31,3,197,23
43,42,1,388,144
44,43,1,44,39
54,53,2,463,60
59,58,1,397,76
70,69,1,254,71
74,73,1,494,171
77,76,1,58,174
80,79,2,118,167
83,82,1,112,70
85,84,2,419,122
86,85,3,1397,177
101,100,2,667,18
105,104,1,1121,31
120,119,1,226,31
123,122,1,982,69
124,123,2,3,123
125,124,1,529,71
133,132,1,637,10
135,134,2,611,159
139,138,1,37,97
145,144,1,57,42
147,146,2,105,43
148,147,1,1187,192
149,148,4,87,144
154,153,2,45,133
155,154,1,571,76
160,159,1,150,64
165,164,1,312,171
168,167,1,433,98
172,171,1,188,90
173,172,2,127,119
174,173,2,41,165
175,174,1,92,190
194,193,3,341,184
197,196,1,49,127
198,197,2,239,138
199,198,2,317,177
201,200,2,175,169
209,208,1,246,77
217,216,1,687,10
227,226,3,185,181
228,227,2,47,71
232,231,1,440,55
235,234,4,304,171
239,238,1,261,122
242,241,1,629,7
252,251,1,43,5
254,253,1,303,186
255,254,1,123,187
258,257,3,179,188
265,264,1,123,82
266,265,2,266,150
270,269,1,403,153
278,277,1,457,145
284,283,2,629,159
287,286,1,299,69
297,296,2,502,20
304,303,1,106,119
337,336,1,435,185
339,338,1,112,187
344,343,1,551,169
351,350,1,299,58
354,353,4,38,79
357,356,1,538,80
363,362,2,28,112
364,363,1,74,71
368,367,2,388,34
370,369,3,309,78
371,370,1,542,145
380,379,1,38,98
389,388,1,754,25
390,389,2,378,43
394,393,1,713,75
395,394,2,324,78
402,401,2,646,95
404,403,2,68,146
407,406,1,320,88
410,409,1,210,25
411,410,1,493,171
413,412,1,738,28
414,413,4,1633,192
417,416,2,143,1
438,437,1,35,125
444,443,2,767,137
447,446,2,529,17
450,449,2,153,36
460,459,1,517,95
467,466,2,172,164
481,480,3,141,57
482,481,3,339,117
488,487,2,680,31
489,488,2,95,10
491,490,2,41,133
493,492,3,354,158
496,495,2,150,4
