employer_geo_code,employer_type,employer_num,p_id,p_hh_id,p_cbg_id
450830203011,3,1,1,779,137
450830203011,3,2,13300,0,0
450830203011,3,2,1,173,76
450830203011,3,3,1,312,9
450830203011,5,1,22307,0,0
450830203011,5,1,22308,0,0
450830203011,5,1,1,85,4
450830203011,5,1,1,433,68
450830203011,5,1,2,208,59
450830203011,5,2,1,410,153
450830203011,5,2,1,532,136
450830203011,9,1,35414,0,0
450830203011,11,1,3,97,71
450830203011,11,1,2,617,124
450830203011,11,1,2,53,77
450830203011,11,1,44061,0,0
450830203011,11,1,1,468,170
450830203011,11,1,44062,0,0
450830203011,11,1,44063,0,0
450830203011,11,1,44064,0,0
450830203011,11,1,1,182,75
450830203011,11,1,1,1150,95
450830203011,11,1,44065,0,0
450830203011,11,1,1,243,9
450830203011,11,1,1,641,172
450830203011,11,1,2,394,13
450830203011,11,1,1,22,166
450830203011,11,1,44066,0,0
450830203011,11,1,2,222,86
450830203011,11,1,1,479,4
450830203011,11,1,44067,0,0
450830203011,11,1,44068,0,0
450830203011,11,1,1,375,56
450830203011,11,1,44069,0,0
450830203011,11,1,44070,0,0
450830203011,11,1,44071,0,0
450830203011,11,1,1,416,77
450830203011,11,1,44072,0,0
450830203011,11,1,1,595,174
450830203011,11,1,3,1404,137
450830203011,11,1,1,281,72
450830203011,11,1,1,543,185
450830203011,11,1,44073,0,0
450830203011,11,1,1,116,162
450830203011,11,1,2,414,5
450830203011,11,1,1,105,99
450830203011,11,1,7,532,170
450830203011,11,1,2,180,165
450830203011,11,1,1,942,132
450830203011,11,1,1,1093,157
450830203011,11,1,1,86,113
450830203011,11,1,2,20,22
450830203011,11,1,44074,0,0
450830203011,11,1,3,180,74
450830203011,11,2,1,571,21
450830203011,11,2,2,63,56
450830203011,11,2,42420,0,0
450830203011,11,2,1,932,76
450830203011,11,2,1,783,3
450830203011,11,2,42421,0,0
450830203011,11,2,42422,0,0
450830203011,11,2,1,154,118
450830203011,11,2,42423,0,0
450830203011,11,2,42424,0,0
450830203011,11,2,42425,0,0
450830203011,11,2,2,391,34
450830203011,11,2,42426,0,0
450830203011,11,2,1,323,27
450830203011,11,2,42427,0,0
450830203011,11,2,2,41,27
450830203011,11,2,1,253,74
450830203011,11,2,2,306,69
450830203011,11,2,1,445,143
450830203011,11,2,42428,0,0
450830203011,11,2,1,799,127
450830203011,11,2,1,735,4
450830203011,11,2,2,408,125
450830203011,11,2,1,176,61
450830203011,11,2,42429,0,0
450830203011,11,2,1,13,12
450830203011,11,2,2,262,47
450830203011,11,2,42430,0,0
450830203011,11,2,2,543,55
450830203011,11,2,2,841,147
450830203011,11,2,1,644,127
450830203011,11,2,2,455,76
450830203011,11,2,42431,0,0
450830203011,11,2,1,386,73
450830203011,11,2,1,1399,137
450830203011,11,2,1,139,157
450830203011,11,2,2,147,155
450830203011,11,2,1,104,67
450830203011,11,2,42432,0,0
450830203011,11,2,2,827,76
450830203011,11,2,2,63,75
450830203011,11,2,42433,0,0
450830203011,11,2,42434,0,0
450830203011,11,2,42435,0,0
450830203011,11,2,1,716,5
450830203011,11,2,42436,0,0
450830203011,11,2,42437,0,0
450830203011,11,2,2,117,189
450830203011,11,2,42438,0,0
450830203011,11,2,2,603,66
450830203011,11,2,1,178,74
450830203011,11,2,1,43,169
450830203011,11,2,1,173,136
450830203011,11,2,2,160,150
450830203011,11,2,42439,0,0
450830203011,11,2,2,422,137
450830203011,11,2,2,185,30
450830203011,11,2,42440,0,0
450830203011,11,2,42441,0,0
450830203011,11,3,2,94,133
450830203011,11,3,1,248,136
450830203011,12,1,50446,0,0
450830203011,12,1,3,448,22
450830203011,12,1,1,469,125
450830203011,12,1,50447,0,0
450830203011,12,1,1,555,4
450830203011,12,1,1,86,67
450830203011,12,1,1,53,188
450830203011,12,1,50448,0,0
450830203011,12,2,50182,0,0
450830203011,12,2,1,424,114
450830203011,12,2,3,1461,75
450830203011,12,2,50183,0,0
450830203012,5,1,19356,0,0
450830203012,5,1,19357,0,0
450830203012,5,1,19358,0,0
450830203012,5,2,1,645,4
450830203012,5,2,1,141,59
450830203012,5,2,1,311,68
450830203012,5,2,22263,0,0
450830203012,5,2,2,45,8
450830203012,9,1,37583,0,0
450830203012,9,1,2,37,141
450830203012,9,1,37584,0,0
450830203012,9,1,2,216,138
450830203012,9,1,2,19,59
450830203012,9,2,1,403,30
450830203012,9,3,36717,0,0
450830203012,9,3,2,155,131
450830203012,9,3,36718,0,0
450830203012,9,4,2,194,180
450830203012,9,4,1,370,9
450830203012,11,1,1,564,70
450830203012,11,1,42920,0,0
450830203012,11,1,2,340,33
450830203012,11,1,1,101,181
450830203012,11,1,42921,0,0
450830203012,11,1,1,287,38
450830203012,11,1,42922,0,0
450830203012,11,1,1,254,77
450830203012,11,1,1,120,18
450830203012,11,1,2,430,43
450830203012,11,1,1,140,159
450830203012,11,1,1,109,42
450830203012,11,1,42923,0,0
450830203012,11,1,1,462,73
450830203012,11,1,42924,0,0
450830203012,11,1,42925,0,0
450830203012,11,1,1,357,86
450830203012,11,1,42926,0,0
450830203012,11,1,42927,0,0
450830203012,11,1,1,694,189
450830203012,11,1,2,271,104
450830203012,11,1,1,55,181
450830203012,11,1,1,973,187
450830203012,11,1,1,199,70
450830203012,11,1,1,32,21
450830203012,11,1,42928,0,0
450830203012,11,1,2,585,30
450830203012,11,1,1,338,163
450830203012,11,1,42929,0,0
450830203012,11,1,42930,0,0
450830203012,11,1,42931,0,0
450830203012,11,1,42932,0,0
450830203012,11,1,1,54,21
450830203012,11,1,42933,0,0
450830203012,11,1,1,369,56
450830203012,11,1,2,433,192
450830203012,11,1,1,310,16
450830203012,11,1,1,341,87
450830203012,11,1,1,337,14
450830203012,11,1,42934,0,0
450830203012,11,1,42935,0,0
450830203012,11,1,1,186,86
450830203012,11,1,3,418,30
450830203012,11,1,4,436,168
450830203012,11,1,1,105,15
450830203012,11,1,42936,0,0
450830203012,11,1,2,481,127
450830203012,11,1,1,173,102
450830203012,11,1,42937,0,0
450830203012,11,1,42938,0,0
450830203012,11,1,1,156,11
450830203012,11,1,42939,0,0
450830203012,11,1,42940,0,0
450830203012,11,1,42941,0,0
450830203012,11,1,42942,0,0
450830203012,11,1,42943,0,0
450830203012,11,1,1,159,118
450830203012,11,1,42944,0,0
450830203012,11,1,1,87,43
450830203012,11,1,2,60,119
450830203012,11,1,42945,0,0
450830203012,11,1,1,1247,192
450830203012,11,1,42946,0,0
450830203012,11,1,42947,0,0
450830203012,11,1,2,600,127
450830203012,11,1,42948,0,0
450830203012,11,1,42949,0,0
450830203012,11,1,42950,0,0
450830203012,11,1,2,1031,75
450830203012,11,1,1,131,34
450830203012,11,1,42951,0,0
450830203012,11,1,2,59,101
450830203012,11,1,1,164,9
450830203012,11,1,3,369,16
450830203012,11,1,1,161,123
450830203012,11,1,1,39,38
450830203012,11,1,2,419,46
450830203012,11,1,1,383,181
450830203012,11,1,42952,0,0
450830203012,11,1,42953,0,0
450830203012,11,1,2,396,43
450830203012,11,1,1,346,4
450830203012,11,1,1,268,106
450830203012,11,1,1,209,12
450830203012,11,1,42954,0,0
450830203012,11,1,42955,0,0
450830203012,11,1,42956,0,0
450830203012,11,1,1,39,161
450830203012,11,1,3,654,5
450830203012,11,1,2,239,170
450830203012,11,1,2,507,55
450830203012,11,1,42957,0,0
450830203012,11,1,1,8,1
450830203012,11,1,1,82,4
450830203012,11,1,1,392,87
450830203012,11,2,2,591,174
450830203012,11,2,1,1017,75
450830203012,11,2,49291,0,0
450830203012,11,2,2,438,21
450830203012,11,2,1,206,136
450830203012,11,2,49292,0,0
450830203012,11,2,49293,0,0
