gq_id,cbg_id,gq_type,n_residents
5,18,inst65o,75
1,21,instu18,25
5,28,inst65o,48
5,32,inst65o,109
3,37,ninst1864civ,35
2,38,inst1864,89
3,38,ninst1864civ,392
2,55,inst1864,1268
5,55,inst65o,31
3,60,ninst1864civ,20
5,63,inst65o,59
5,66,inst65o,69
2,72,inst1864,595
5,72,inst65o,68
5,77,inst65o,71
5,80,inst65o,68
1,83,instu18,67
2,83,inst1864,85
5,88,inst65o,130
3,93,ninst1864civ,83
3,94,ninst1864civ,23
3,111,ninst1864civ,855
2,156,inst1864,669
1,160,instu18,22
2,172,inst1864,36
5,172,inst65o,210
5,176,inst65o,87
3,182,ninst1864civ,1282
3,184,ninst1864civ,407
3,188,ninst1864civ,24
5,190,inst65o,55
