p_id,p_hh_id,p_cbg_id
1,1,1
1,4,1
1,5,1
2,10,1
2,13,1
1,15,1
1,23,1
1,24,1
2,24,1
2,29,1
3,29,1
2,32,1
2,38,1
3,40,1
1,41,1
1,48,1
2,49,1
2,51,1
2,55,1
1,56,1
2,56,1
2,58,1
1,59,1
3,59,1
2,62,1
1,63,1
2,63,1
1,67,1
2,69,1
1,76,1
2,76,1
1,78,1
2,78,1
3,79,1
1,82,1
2,88,1
1,93,1
1,94,1
2,97,1
1,100,1
1,101,1
1,108,1
1,110,1
2,112,1
2,114,1
1,118,1
1,123,1
2,123,1
1,125,1
2,125,1
2,126,1
1,127,1
2,127,1
2,128,1
2,131,1
1,134,1
1,136,1
1,138,1
1,141,1
1,142,1
2,143,1
2,155,1
1,156,1
1,157,1
1,162,1
2,162,1
1,166,1
2,168,1
3,168,1
2,170,1
2,173,1
1,179,1
1,180,1
2,186,1
1,191,1
2,191,1
2,193,1
1,194,1
1,195,1
1,196,1
2,203,1
2,205,1
1,208,1
2,210,1
3,211,1
1,219,1
3,223,1
1,224,1
2,226,1
1,227,1
2,227,1
1,229,1
1,232,1
2,234,1
1,235,1
1,238,1
2,238,1
1,239,1
1,241,1
2,245,1
3,245,1
1,248,1
2,248,1
2,256,1
3,256,1
1,257,1
2,262,1
1,264,1
1,266,1
1,267,1
1,271,1
3,271,1
2,274,1
2,281,1
1,284,1
1,295,1
2,295,1
2,296,1
1,297,1
2,298,1
1,299,1
1,303,1
2,303,1
1,306,1
2,314,1
3,316,1
1,321,1
1,323,1
2,329,1
2,332,1
1,338,1
2,342,1
3,343,1
1,348,1
2,348,1
2,3,2
3,7,2
1,8,2
1,16,2
1,17,2
2,17,2
2,18,2
1,20,2
2,21,2
1,22,2
1,27,2
2,31,2
1,33,2
1,34,2
1,35,2
1,36,2
2,36,2
2,38,2
1,39,2
1,42,2
4,45,2
2,48,2
1,53,2
2,54,2
2,55,2
1,56,2
1,58,2
3,59,2
2,72,2
3,73,2
1,77,2
1,81,2
1,85,2
1,88,2
2,90,2
3,91,2
3,94,2
1,95,2
2,96,2
1,99,2
3,99,2
4,100,2
1,103,2
1,104,2
1,107,2
4,110,2
1,114,2
2,116,2
2,120,2
1,126,2
1,128,2
2,130,2
1,136,2
1,137,2
1,146,2
1,148,2
1,149,2
1,152,2
2,152,2
1,155,2
2,157,2
4,157,2
1,159,2
2,162,2
1,164,2
2,164,2
1,165,2
2,170,2
1,171,2
1,172,2
2,175,2
3,178,2
1,180,2
1,183,2
2,183,2
1,185,2
1,188,2
1,189,2
1,190,2
1,191,2
1,192,2
1,198,2
1,201,2
3,201,2
1,202,2
3,203,2
4,203,2
1,205,2
1,210,2
2,210,2
1,212,2
2,215,2
3,215,2
1,221,2
1,226,2
1,228,2
1,230,2
1,231,2
3,232,2
2,237,2
1,238,2
1,244,2
1,246,2
1,248,2
1,250,2
1,259,2
1,263,2
1,264,2
3,264,2
1,266,2
2,266,2
2,268,2
1,269,2
1,271,2
1,273,2
2,273,2
1,278,2
1,280,2
1,284,2
1,292,2
2,292,2
3,292,2
2,296,2
2,297,2
1,302,2
2,306,2
3,312,2
1,314,2
4,314,2
1,318,2
2,318,2
1,328,2
3,329,2
1,335,2
1,339,2
1,341,2
1,347,2
1,349,2
2,6,3
2,10,3
1,11,3
1,16,3
1,18,3
2,18,3
2,19,3
4,22,3
3,23,3
2,24,3
2,25,3
1,27,3
2,28,3
1,29,3
2,33,3
4,37,3
1,43,3
1,45,3
1,46,3
1,47,3
2,47,3
1,48,3
2,49,3
4,52,3
1,55,3
2,55,3
5,55,3
1,56,3
3,58,3
1,59,3
1,60,3
1,67,3
1,69,3
2,71,3
2,73,3
1,74,3
1,76,3
3,76,3
4,76,3
1,77,3
2,77,3
1,79,3
2,82,3
1,88,3
1,90,3
2,93,3
4,93,3
4,94,3
2,95,3
3,95,3
2,98,3
1,99,3
3,102,3
1,106,3
1,111,3
1,116,3
1,119,3
1,123,3
1,124,3
2,127,3
1,129,3
1,135,3
3,138,3
2,139,3
2,143,3
4,148,3
1,149,3
2,154,3
1,155,3
2,157,3
