,p1,p2,edge_weight
0,3200,564,1
1,3664,1884,1
2,3791,556,1
3,3865,823,1
4,4155,350,1
5,4192,1997,1
6,4192,2162,1
7,4972,823,1
8,5139,3103,1
9,5272,2584,1
10,5334,4673,1
11,5495,103,1
12,5495,4214,1
13,5701,1477,1
14,5701,5362,1
15,5733,4972,1
16,5745,3836,1
17,5933,4618,1
18,6681,4459,1
19,7010,5582,1
20,7098,1997,1
21,7645,503,1
22,7994,2196,1
23,8178,2244,1
24,8378,3670,1
25,8378,3797,1
26,8585,1715,1
27,8690,7741,1
28,8933,8180,1
29,9112,1431,1
30,9114,7010,1
31,9114,8832,1
32,9235,1979,1
33,9519,503,1
34,9519,2821,1
35,9769,8637,1
36,9890,5007,1
37,10121,5809,1
38,10148,6710,1
39,10195,5362,1
40,10548,9736,1
41,10579,6710,1
42,10579,7994,1
43,10608,1884,1
44,10653,7010,1
45,10917,1431,1
46,11173,10305,1
47,11266,6525,1
48,11507,3357,1
49,11635,10443,1
50,11646,1376,1
51,11646,2127,1
52,11646,4673,1
53,11814,3207,1
54,11831,9537,1
55,11949,4622,1
56,12005,7920,1
57,12018,3732,1
58,12032,11078,1
59,12054,3504,1
60,12088,9523,1
61,12158,5796,1
62,12329,2084,1
63,12329,10933,1
64,12369,11634,1
65,12464,10183,1
66,12528,11949,1
67,12811,5635,1
68,13082,5378,1
69,13233,12183,1
70,13274,3159,1
71,13275,11084,1
72,13297,9011,1
73,13458,2084,1
74,13591,10305,1
75,13879,3791,1
76,13939,12993,1
77,13971,2162,1
78,14198,2945,1
79,14222,5857,1
80,14359,823,1
81,14529,13606,1
82,14609,1133,1
83,14903,3836,1
84,14967,4192,1
85,15237,9537,1
86,15323,14418,1
87,15333,9769,1
88,15497,3090,1
89,15528,771,1
90,15528,5745,1
91,15528,14903,1
92,15661,3738,1
93,15675,8955,1
94,15709,182,1
95,15773,6419,1
96,15773,9806,1
97,15773,13591,1
98,15804,103,1
99,15804,4214,1
100,15914,8832,1
101,15919,2532,1
102,16096,5314,1
103,16130,2606,1
104,16168,4242,1
105,16168,5048,1
106,16196,9837,1
107,16210,4384,1
108,16210,11040,1
109,16219,13389,1
110,16226,11533,1
111,16234,12327,1
112,16248,2819,1
113,16251,11533,1
114,16251,13389,1
115,16251,16226,1
116,16340,2588,1
117,16340,3200,1
118,16409,2244,1
119,16409,8178,1
120,16409,11587,1
121,16414,2450,1
122,16418,5607,1
123,16418,15048,1
124,16580,15816,1
125,16662,1979,1
126,16793,5314,1
127,16793,16234,1
128,16804,9065,1
129,16881,8009,1
130,16881,10846,1
131,17221,1715,1
132,17221,8585,1
133,17323,4178,1
134,17370,3207,1
135,17370,3587,1
136,17370,12183,1
137,17370,13233,1
138,17421,1996,1
139,17609,6704,1
140,17609,12005,1
141,17624,350,1
142,17624,7455,1
143,17669,2588,1
144,17669,3200,1
145,17669,16340,1
146,17752,15435,1
147,17769,2606,1
148,17769,5048,1
149,17808,11587,1
150,17913,2103,1
151,17950,4861,1
152,17984,15497,1
153,18168,8861,1
154,18223,991,1
155,18311,11533,1
156,18339,5933,1
157,18339,10653,1
158,18402,591,1
159,18402,5378,1
160,18519,10333,1
161,18519,16358,1
162,18532,17609,1
163,18558,10338,1
164,18570,2673,1
165,18691,7455,1
166,18769,11078,1
167,18769,12032,1
168,18780,11083,1
169,18825,11251,1
170,18869,2673,1
171,18926,6525,1
172,18926,11266,1
173,19075,16409,1
174,19113,13895,1
175,19161,6363,1
176,19171,6951,1
177,19171,18869,1
178,19171,19075,1
179,19240,5438,1
180,19240,9736,1
181,19307,8037,1
182,19489,18167,1
183,19696,176,1
184,19696,5484,1
185,19706,16342,1
186,19805,1996,1
187,19805,12054,1
188,19997,10788,1
189,20014,3479,1
190,20014,6134,1
191,20030,9680,1
192,20078,17569,1
193,20169,3455,1
194,20169,5210,1
195,20308,12018,1
196,20308,12088,1
197,20347,2584,1
198,20394,18532,1
199,20489,6951,1
200,20489,17094,1
201,20489,19171,1
202,20599,10902,1
203,20599,19097,1
204,20669,1867,1
205,20669,7163,1
206,20810,4532,1
207,20810,9011,1
208,20910,11831,1
209,20912,3777,1
210,20950,9724,1
211,20967,3665,1
212,21038,5837,1
213,21192,3201,1
214,21230,3004,1
215,21230,5378,1
216,21230,13082,1
217,21266,4459,1
218,21266,6681,1
219,21299,10785,1
220,21359,7913,1
221,21359,8831,1
222,21379,1384,1
223,21394,10309,1
224,21445,18618,1
225,21452,16793,1
226,21478,16793,1
227,21478,21452,1
228,21488,19997,1
229,21556,3159,1
