Geo,B11016:Family households:2-person household,B11016:Family households:3-person household,B11016:Family households:4-person household,B11016:Family households:5-person household,B11016:Family households:6-person household,B11016:Family households:7-or-more person household,B11016:Nonfamily households:1-person household,B11016:Nonfamily households:2-person household,B11016:Nonfamily households:3-person household,B11016:Nonfamily households:4-person household,B11016:Nonfamily households:5-person household,B11016:Nonfamily households:6-person household,B11016:Nonfamily households:7-or-more person household,B23009:With own children of the householder under 18 years:Married-couple family:No workers,B23009:With own children of the householder under 18 years:Married-couple family:1 worker,B23009:With own children of the householder under 18 years:Married-couple family:2 workers:,B23009:With own children of the householder under 18 years:Married-couple family:3 or more workers:,B23009:With own children of the householder under 18 years:Other family:Unmarried householder:No workers,B23009:With own children of the householder under 18 years:Other family:Unmarried householder:1 worker,B23009:With own children of the householder under 18 years:Other family:Unmarried householder:2 workers,B23009:With own children of the householder under 18 years:Other family:Unmarried householder:3 or more workers,B23009:No own children of the householder under 18 years:Married-couple family:No workers,B23009:No own children of the householder under 18 years:Married-couple family:1 worker,B23009:No own children of the householder under 18 years:Married-couple family:2 workers:,B23009:No own children of the householder under 18 years:Married-couple family:3 or more workers:,B23009:No own children of the householder under 18 years:Other family:Unmarried householder:No workers,B23009:No own children of the householder under 18 years:Other family:Unmarried householder:1 worker,B23009:No own children of the householder under 18 years:Other family:Unmarried householder:2 workers,B23009:No own children of the householder under 18 years:Other family:Unmarried householder:3 or more workers,B11004:Married-couple family:With related children of the householder under 18 years:Under 6 years only,B11004:Married-couple family:With related children of the householder under 18 years:Under 6 years and 6 to 17 years,B11004:Married-couple family:With related children of the householder under 18 years:6 to 17 years only,B11004:Married-couple family:No related children of the householder under 18 years,B11004:Other family:Unmarried householder:With related children of the householder under 18 years:Under 6 years only,B11004:Other family:Unmarried householder:With related children of the householder under 18 years:Under 6 years and 6 to 17 years,B11004:Other family:Unmarried householder:With related children of the householder under 18 years:6 to 17 years only,B11004:Other family:Unmarried householder:No related children of the householder under 18 years,B11012:Two-partner household:With children of the householder under 18 years,B11012:Two-partner household:With no children of the householder under 18 years,B11012:Single householder:Living alone,B11012:Single householder:With own children under 18 years,"B11012:Single householder:With relatives, no own children under 18 years",B11012:Single householder:With only nonrelatives present,B09018:,B09018:Grandchild,B09021:18 to 34 years:Lives alone,B09021:18 to 34 years:Householder living with partner or partner of householder,B09021:18 to 34 years:Child of householder,B09021:18 to 34 years:Other relatives,B09021:18 to 34 years:Other nonrelatives,B09021:35 to 64 years:Lives alone,B09021:35 to 64 years:Householder living with partner or partner of householder,B09021:35 to 64 years:Child of householder,B09021:35 to 64 years:Other relatives,B09021:35 to 64 years:Other nonrelatives,B09021:65 years and over:Lives alone,B09021:65 years and over:Householder living with partner or partner of householder,B09021:65 years and over:Other relatives,B09021:65 years and over:Other nonrelatives,B19001:q1_1,B19001:q1_2,B19001:q1_3,B19001:q2,B19001:q3,B19001:q4,B19001:q5,B22010:Household received Food Stamps/SNAP in the past 12 months:,C24030:AGR_EXT,C24030:CON,C24030:MFG,C24030:WHL,C24030:RET,C24030:TRN_UTL,C24030:INF,C24030:FIN,C24030:PRF,C24030:EDU,C24030:MED,C24030:ENT_art,C24030:ENT_food,C24030:SRV,C24030:ADM_MIL,B25006:Householder who is Black or African American alone,B11001H:Householder white non-hispanic,B11001I:Householder hispanic any race
450830213023,227,98,82,37,6,0,60,0,0,0,0,0,0,0,26,127,0,6,0,0,0,38,74,118,14,0,9,38,0,0,61,92,244,0,6,0,47,153,244,60,6,47,0,341,0,0,45,115,0,0,0,521,29,26,0,60,229,27,0,6,23,43,46,121,51,220,0,0.0,81.0,54.0,36.0,64.0,27.0,8.0,38.0,134.0,60.0,125.0,15.0,18.0,37.0,16.0,7,489,0
450830213022,40,6,34,0,10,0,36,6,0,0,0,0,0,0,13,11,10,0,0,0,0,18,28,0,0,0,0,0,10,24,0,10,46,10,0,0,0,34,46,36,0,10,6,73,11,0,46,42,0,0,0,27,8,10,0,36,85,13,14,13,8,19,6,48,22,16,13,0.0,8.0,17.0,0.0,30.0,0.0,0.0,0.0,23.0,0.0,12.0,10.0,46.0,0.0,0.0,0,119,13
450830217003,160,218,53,19,57,0,191,9,0,0,0,0,0,0,32,19,0,10,217,36,0,33,53,39,0,0,23,34,11,32,0,41,103,138,98,35,60,113,134,191,201,59,9,688,65,37,183,168,173,0,130,243,26,128,24,24,71,17,0,129,200,119,187,72,0,0,297,0.0,0.0,244.0,0.0,52.0,46.0,24.0,8.0,59.0,33.0,134.0,1.0,149.0,14.0,74.0,517,140,50
450830212003,134,18,62,22,7,0,259,80,21,0,0,0,0,0,17,83,0,0,10,0,0,11,15,66,0,31,0,10,0,35,46,19,92,0,0,10,41,100,172,259,10,41,21,242,0,39,225,70,0,80,88,297,0,20,0,132,36,31,0,21,52,115,119,202,58,36,44,2.0,0.0,54.0,49.0,56.0,8.0,0.0,20.0,83.0,124.0,172.0,10.0,29.0,0.0,38.0,39,541,0
450830212002,154,80,49,33,0,0,168,7,0,0,0,0,0,0,7,111,15,0,10,6,0,41,17,75,0,28,0,6,0,45,16,72,133,10,0,6,34,133,140,168,16,34,0,267,0,48,80,10,0,0,84,306,13,50,0,36,153,58,0,35,37,24,85,146,61,103,26,0.0,32.0,114.0,16.0,31.0,0.0,0.0,77.0,52.0,54.0,92.0,24.0,17.0,65.0,10.0,7,484,7
450830203012,49,8,0,0,0,0,124,0,0,0,0,0,0,0,8,0,0,0,12,0,0,6,0,9,0,6,16,0,0,8,0,0,15,12,0,0,22,8,15,124,12,22,0,20,0,0,26,0,19,0,76,23,0,43,0,48,0,0,0,50,69,46,16,0,0,0,85,0.0,0.0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,22.0,0.0,0.0,120,47,0
450830203013,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,5,16,5,0,0,0,0,17,0,0,0,9,0,0,0,39,0,9,0,0,5,0,0,0,0,0,0,21,0,0,0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,5.0,27.0,1.0,2.0,13.0,6.0,6.0,21,0,0
450830204002,29,48,35,6,0,12,69,15,0,0,0,0,0,0,0,0,7,6,33,16,0,6,6,6,7,7,20,10,6,0,7,13,12,0,5,50,43,12,25,69,50,43,15,171,31,0,0,29,44,15,42,58,74,79,22,27,18,53,0,16,68,22,74,28,0,6,60,0.0,7.0,101.0,6.0,38.0,21.0,0.0,6.0,1.0,14.0,28.0,0.0,25.0,0.0,0.0,164,34,16
450830213033,92,81,50,13,0,0,390,32,0,0,0,0,0,0,13,29,21,0,24,13,0,21,19,32,17,27,20,0,0,13,29,21,89,0,0,37,47,87,97,390,13,47,24,154,0,96,143,52,0,5,206,140,26,97,53,88,88,37,0,20,74,197,209,83,44,31,13,0.0,0.0,81.0,40.0,95.0,34.0,0.0,45.0,51.0,33.0,147.0,44.0,119.0,30.0,0.0,71,522,0
450830213034,101,91,11,40,0,0,115,19,0,0,0,0,0,0,22,0,40,0,71,0,0,32,55,9,0,0,14,0,0,22,11,29,96,0,0,71,14,62,115,115,71,14,0,263,0,0,66,39,0,0,43,173,0,114,0,72,108,14,0,16,32,39,198,69,0,23,11,0.0,16.0,3.0,9.0,69.0,51.0,0.0,39.0,49.0,26.0,87.0,0.0,50.0,11.0,0.0,63,314,0
